temperature_moyenne,nb_lost_item
0.9249999999999999,9
0.925,40
0.9285714285714287,3
0.9374999999999998,3
0.9374999999999999,17
0.9375,31
0.95,3
0.9500000000000001,11
0.9624999999999999,1
0.9625,32
0.9625000000000001,4
0.9714285714285713,1
0.9749999999999998,3
0.9749999999999999,2
0.975,17
0.9750000000000001,11
0.9857142857142857,4
0.9857142857142858,3
0.9874999999999999,8
0.9875,22
0.9999999999999998,16
0.9999999999999999,13
1.0,44
1.0000000000000002,3
1.0125,13
1.0125000000000002,3
1.0142857142857145,3
1.025,26
1.0250000000000001,35
1.0285714285714285,2
1.0285714285714287,7
1.0374999999999999,10
1.0499999999999998,22
1.05,11
1.0571428571428572,4
1.0625,21
1.075,5
1.0750000000000002,4
1.0750000000000004,9
1.0875,39
1.0875000000000001,27
1.0999999999999996,1
1.0999999999999999,6
1.1,34
1.1124999999999998,12
1.1125,14
1.1142857142857143,1
1.125,26
1.1285714285714286,30
1.1374999999999997,4
1.1375,28
1.1375000000000002,7
1.1428571428571428,9
1.15,90
1.1500000000000001,10
1.1571428571428568,2
1.1624999999999999,14
1.1625,2
1.175,12
1.1750000000000003,13
1.1874999999999996,6
1.1874999999999998,11
1.1875,21
1.1875000000000002,6
1.1999999999999997,1
1.2,22
1.2000000000000002,5
1.2125,2
1.2125000000000001,11
1.2142857142857142,21
1.2249999999999999,15
1.225,10
1.2250000000000003,3
1.2285714285714289,11
1.2374999999999998,38
1.2375,48
1.2375000000000003,2
1.2428571428571427,1
1.25,25
1.257142857142857,2
1.2571428571428576,1
1.2624999999999997,6
1.2625,24
1.2625000000000002,10
1.2714285714285711,6
1.2749999999999997,7
1.275,11
1.2750000000000001,4
1.2857142857142858,10
1.2875,14
1.2999999999999998,3
1.3,10
1.3000000000000003,17
1.3124999999999998,2
1.3125,31
1.325,15
1.3250000000000002,1
1.3285714285714285,2
1.3375,12
1.3499999999999999,26
1.35,21
1.3571428571428572,6
1.3624999999999998,18
1.3625,13
1.3749999999999998,1
1.375,45
1.3750000000000002,4
1.3857142857142857,3
1.385714285714286,20
1.3874999999999997,8
1.3875,19
1.3875000000000002,4
1.4,26
1.4000000000000001,9
1.4124999999999996,4
1.4124999999999999,6
1.4125,24
1.4125000000000005,23
1.4142857142857141,12
1.4249999999999998,33
1.425,19
1.4250000000000003,1
1.4374999999999998,19
1.4375,29
1.4428571428571428,7
1.442857142857143,4
1.45,17
1.457142857142857,25
1.4625,14
1.4625000000000001,33
1.4625000000000004,2
1.4714285714285715,3
1.4749999999999999,8
1.475,68
1.4857142857142855,3
1.4874999999999998,36
1.4875,11
1.4875000000000003,4
1.5,24
1.5000000000000002,7
1.5124999999999997,18
1.5125,36
1.5125000000000002,17
1.5249999999999997,15
1.525,1
1.5250000000000001,3
1.5333333333333334,4
1.5374999999999996,5
1.5374999999999999,14
1.5375,24
1.542857142857143,4
1.5499999999999998,16
1.55,42
1.5500000000000003,18
1.5571428571428572,1
1.5571428571428574,1
1.5624999999999998,9
1.5625,11
1.5625000000000002,1
1.5749999999999997,1
1.575,26
1.5750000000000002,19
1.5857142857142856,2
1.5875,2
1.5875000000000001,8
1.5999999999999999,4
1.6,11
1.6124999999999998,13
1.6125,24
1.6249999999999998,10
1.625,62
1.6285714285714286,2
1.6374999999999997,3
1.6375,19
1.6375000000000002,14
1.65,43
1.6500000000000004,4
1.6624999999999996,2
1.6624999999999999,12
1.6625,14
1.6714285714285713,4
1.6749999999999998,11
1.6750000000000003,19
1.6874999999999998,12
1.6875,20
1.6875000000000002,1
1.6999999999999997,25
1.7,5
1.7000000000000002,23
1.7000000000000004,2
1.7125,17
1.7125000000000001,2
1.7125000000000004,8
1.7249999999999999,1
1.725,26
1.7285714285714289,4
1.7374999999999998,15
1.7375,22
1.7428571428571427,19
1.7499999999999998,23
1.75,26
1.7500000000000002,2
1.7625,33
1.7625000000000002,7
1.7666666666666668,11
1.7714285714285711,12
1.7714285714285716,6
1.7714285714285718,2
1.7749999999999997,14
1.775,38
1.7750000000000001,4
1.7857142857142854,2
1.7875,17
1.7999999999999996,1
1.7999999999999998,12
1.8,52
1.8000000000000003,10
1.8125,22
1.8125000000000002,3
1.8249999999999997,3
1.825,12
1.8250000000000002,13
1.8375,18
1.8375000000000001,5
1.8499999999999996,4
1.8499999999999999,7
1.85,52
1.8624999999999998,33
1.8625,13
1.8625000000000003,11
1.8714285714285714,13
1.8714285714285717,3
1.8749999999999998,17
1.875,18
1.8833333333333335,2
1.8874999999999997,19
1.8875,14
1.8875000000000002,25
1.9,34
1.9000000000000001,24
1.9124999999999999,3
1.9125,20
1.9125000000000003,5
1.9249999999999998,1
1.925,26
1.9250000000000003,6
1.9285714285714286,14
1.9374999999999998,14
1.9375,6
1.9499999999999997,2
1.95,18
1.9500000000000002,19
1.957142857142857,11
1.9571428571428573,15
1.9624999999999997,14
1.9625,33
1.9625000000000001,12
1.9625000000000004,2
1.9749999999999999,13
1.975,35
1.9750000000000003,6
1.9857142857142858,1
1.9874999999999998,15
1.9875,8
1.9875000000000003,12
1.9999999999999998,18
2.0,53
2.0000000000000004,5
2.0124999999999997,7
2.0125,15
2.0125000000000006,9
2.0142857142857147,9
2.025,7
2.0250000000000004,4
2.028571428571429,18
2.0374999999999996,3
2.0375,15
2.042857142857143,2
2.05,30
2.0500000000000003,27
2.057142857142857,2
2.0625,62
2.0625000000000004,15
2.071428571428571,1
2.0714285714285716,10
2.0749999999999997,18
2.075,24
2.0875,25
2.1,48
2.1125,11
2.1125000000000003,26
2.1142857142857143,3
2.125,48
2.1285714285714286,3
2.1374999999999997,6
2.1375,23
2.15,32
2.1500000000000004,37
2.1624999999999996,4
2.1625,21
2.175,86
2.1750000000000003,9
2.1874999999999996,4
2.1875,60
2.1875000000000004,5
2.1999999999999997,5
2.2,37
2.2124999999999995,2
2.2125,49
2.2125000000000004,18
2.2249999999999996,9
2.225,51
2.2285714285714286,4
2.2375,56
2.2375000000000003,11
2.2375000000000007,3
2.25,37
2.2500000000000004,1
2.2624999999999997,19
2.2625,44
2.2714285714285714,2
2.2749999999999995,2
2.275,10
2.2750000000000004,43
2.2874999999999996,3
2.2875,47
2.2875000000000005,10
2.3,29
2.3000000000000003,28
2.3000000000000007,3
2.3124999999999996,4
2.3125,42
2.314285714285714,1
2.32,2
2.3249999999999997,15
2.325,25
2.3285714285714287,11
2.3375,17
2.3375000000000004,41
2.342857142857143,2
2.3499999999999996,52
2.35,29
2.357142857142857,2
2.3625,18
2.3625000000000003,10
2.3749999999999996,12
2.375,17
2.3750000000000004,23
2.3874999999999997,9
2.3875,45
2.4,18
2.4000000000000004,20
2.4124999999999996,5
2.4125,26
2.414285714285714,9
2.4249999999999994,1
2.425,44
2.4375,62
2.4499999999999997,64
2.45,49
2.457142857142857,12
2.4624999999999995,8
2.4625,44
2.4625000000000004,12
2.4749999999999996,20
2.475,29
2.4750000000000005,2
2.485714285714286,5
2.4875,43
2.4875000000000003,32
2.4875000000000007,2
2.4999999999999996,16
2.5,83
2.5124999999999997,7
2.5125,42
2.514285714285714,2
2.5142857142857147,4
2.525,41
2.5250000000000004,15
2.5285714285714285,11
2.528571428571429,3
2.533333333333333,1
2.5374999999999996,21
2.5375,32
2.5375000000000005,13
2.542857142857143,1
2.55,45
2.5500000000000003,49
2.5571428571428574,2
2.5624999999999996,3
2.5625,12
2.5714285714285716,6
2.5749999999999997,20
2.575,15
2.5874999999999995,11
2.5875,49
2.5875000000000004,41
2.599999999999999,2
2.6,77
2.6125,23
2.6125000000000003,22
2.6142857142857143,13
2.6249999999999996,22
2.625,38
2.6250000000000004,12
2.6374999999999997,38
2.6375,51
2.6375000000000006,3
2.642857142857143,1
2.65,42
2.6500000000000004,8
2.6571428571428575,2
2.6624999999999996,21
2.6625,18
2.6625000000000005,1
2.675,66
2.6750000000000003,24
2.685714285714286,21
2.6874999999999996,15
2.6875,11
